Codigo;Matricula;Fecha_Matriculacion;Marca;Modelo;Tipo;Variante;Clasificacion_medioambiental;Combustible;Cilindrada;Potencia;Numero_Plazas;Fecha_inicio_prestacion_servicio_taxi;Eurotaxi;Regimen_Especial_Eurotaxi;Fecha_inicio_Regimen_Especial_Eurotaxi;Fecha_fin_Regimen_Especial_Eurotaxi;Fecha
1331552;0937HVV;19/02/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;20/02/2014;NO;NO;;;12/11/2018
1396824;2945JKG;25/11/2015;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;01/12/2015;NO;NO;;;12/11/2018
1510939;5551KKJ;25/04/2018;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;27/04/2018;NO;NO;;;12/11/2018
1301254;1494HSN;14/08/2013;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;20/08/2013;NO;NO;;;12/11/2018
1297598;1800HRN;11/06/2013;SEAT;ALTEA XL;5P;ACCAYCX01/AGNFD7****;B;DIESEL;1598;77;5;12/06/2013;NO;NO;;;12/11/2018
1291430;3680HPG;13/03/2013;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;13/03/2013;NO;NO;;;12/11/2018
1424227;3110JND;14/04/2016;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;18/04/2016;NO;NO;;;12/11/2018
1306825;0794HTJ;29/10/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;30/10/2013;NO;NO;;;12/11/2018
1289434;1650HNX;14/02/2013;SEAT;ALTEA XL;5P;ACCAYCX01/SGNFM5****;B;DIESEL;1598;77;5;15/02/2013;NO;NO;;;12/11/2018
1300836;8698HSL;07/08/2013;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;12/08/2013;NO;NO;;;12/11/2018
1468370;0784JXR;22/03/2017;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;23/03/2017;NO;NO;;;12/11/2018
1397004;3682JKL;01/12/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;02/12/2015;NO;NO;;;12/11/2018
1487330;9853KGC;19/12/2017;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;26/12/2017;NO;NO;;;12/11/2018
1269862;4218HND;11/12/2012;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;12/12/2012;NO;NO;;;12/11/2018
1296351;0450HRG;23/05/2013;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;27/05/2013;NO;NO;;;12/11/2018
1337809;5281HXB;05/05/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;09/05/2014;NO;NO;;;12/11/2018
1424931;1257JNG;19/04/2016;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;25/04/2016;NO;NO;;;12/11/2018
1298488;8975HRT;26/06/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;26/06/2013;NO;NO;;;12/11/2018
1514948;1897KMD;25/06/2018;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;06/07/2018;NO;NO;;;12/11/2018
1328879;0324HVH;10/01/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;16/01/2014;NO;NO;;;12/11/2018
1310815;3538HTX;11/12/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;13/12/2013;NO;NO;;;12/11/2018
1223836;1827HCW;13/04/2011;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;15/04/2011;NO;NO;;;12/11/2018
1351784;5212JBH;26/11/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;27/11/2014;NO;NO;;;12/11/2018
1288547;0981HNS;30/01/2013;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;04/02/2013;NO;NO;;;12/11/2018
1311821;0898HVC;26/12/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;27/12/2013;NO;NO;;;12/11/2018
1439507;3868JTJ;21/10/2016;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;21/10/2016;NO;NO;;;12/11/2018
1350972;0958JBF;17/11/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;18/11/2014;NO;NO;;;12/11/2018
1392795;7345JJM;16/10/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;19/10/2015;NO;NO;;;12/11/2018
1332396;3076HVZ;03/03/2014;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;04/03/2014;NO;NO;;;12/11/2018
1332727;2944HWB;06/03/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;07/03/2014;NO;NO;;;12/11/2018
1332932;4391HWC;11/03/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;11/03/2014;NO;NO;;;12/11/2018
1154707;6643GNR;22/07/2009;SEAT;ALTEA XL;5P;ACBXEX01/SGFM5********;B;DIESEL;1896;77;5;28/07/2009;NO;NO;;;12/11/2018
1350123;6735HZZ;03/11/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;05/11/2014;NO;NO;;;12/11/2018
1342062;7149HYD;01/07/2014;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;04/07/2014;NO;NO;;;12/11/2018
1474317;2653JZS;06/06/2017;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;06/06/2017;NO;NO;;;12/11/2018
1420535;9381JMG;03/03/2016;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;04/03/2016;NO;NO;;;12/11/2018
1297677;9008HRN;13/06/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;13/06/2013;NO;NO;;;12/11/2018
1428910;3140JPD;25/05/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;01/06/2016;NO;NO;;;12/11/2018
1435946;2668JSM;05/09/2016;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;06/09/2016;NO;NO;;;12/11/2018
1343647;6518HYR;30/07/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;31/07/2014;NO;NO;;;12/11/2018
1353530;9162JBP;15/12/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;17/12/2014;NO;NO;;;12/11/2018
1516359;0210KMW;16/07/2018;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;18/07/2018;NO;NO;;;12/11/2018
1331852;3275HVW;25/02/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;25/02/2014;NO;NO;;;12/11/2018
1480644;1639KCY;11/09/2017;SEAT;TOLEDO;NH;AACXMA;C;DIESEL;1598;85;5;12/09/2017;NO;NO;;;12/11/2018
1482142;0078KDM;04/10/2017;SEAT;LEON ST;5F;FCPWAX0V;ECO;GASOLINA - GAS NATURAL;1395;81;5;05/10/2017;NO;NO;;;12/11/2018
1310054;3988HTV;02/12/2013;SEAT;TOLEDO E-ECOMOTIVE;NH;AACAYC;B;DIESEL;1598;77;5;03/12/2013;NO;NO;;;12/11/2018
1342127;1000HYF;01/07/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;07/07/2014;NO;NO;;;12/11/2018
1312552;5551HVG;09/01/2014;SEAT;TOLEDO;NH;AACAYC;B;DIESEL;1598;77;5;09/01/2014;NO;NO;;;12/11/2018
1397041;7255JGS;03/07/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;02/12/2015;NO;NO;;;12/11/2018
1470475;1334JYJ;18/04/2017;SEAT;LEON ST;5F;FCRLDX0V;C;DIESEL;1968;81;5;20/04/2017;NO;NO;;;12/11/2018
1381780;8209JFP;22/05/2015;SEAT;ALTEA XL;5P;ACCHGAX01/SGNFM5;ECO;GLP / GASOLINA;1595;75;5;26/05/2015;NO;NO;;;12/11/2018
